wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
625.5999756,-0.002187489,-0.004104745,-0.010146909,-0.012156507
624.7999878,-0.002691755,-0.00400047,-0.010236521,-0.012996269
624,-0.002303272,-0.002507157,-0.010634091,-0.013809938
623.2000122,-0.001921607,-0.003402805,-0.010645711,-0.014675743
622.4000244,-0.001787419,-0.002657846,-0.009427168,-0.012887474
621.5999756,-0.00117503,-0.002767382,-0.008557272,-0.011732564
620.7999878,-0.001834696,-0.001916968,-0.00952088,-0.011721629
620,-0.000630228,-0.001751274,-0.009346712,-0.011420424
619.2000122,-0.000774077,-0.002364602,-0.008697048,-0.011972918
618.4000244,-0.000790717,-0.002462424,-0.008507929,-0.011212762
617.5999756,-0.001830417,-0.003631178,-0.008989142,-0.011263464
616.7999878,-0.001613062,-0.003649353,-0.008175934,-0.011874646
616,-0.001467014,-0.002425769,-0.008544581,-0.012285315
615.2000122,-0.001469284,-0.002889748,-0.008234053,-0.010638941
614.4000244,-0.001072321,-0.001025374,-0.007996957,-0.009998544
613.5999756,-0.001196405,-0.00121814,-0.007219773,-0.009682269
612.7999878,0.000336493,-0.000689004,-0.006052378,-0.009303337
612,-0.001367781,-0.001333976,-0.007541305,-0.009878671
611.2000122,-0.000591454,-0.000324696,-0.007493933,-0.00891104
610.4000244,-0.00041615,-0.000116057,-0.007214935,-0.007558197
609.5999756,-0.000744825,-0.001233215,-0.007840635,-0.008767578
608.7999878,-0.001799793,-0.001681142,-0.007746154,-0.010812541
608,-0.001592687,-0.00114849,-0.007872158,-0.010387435
607.2000122,-0.001067622,-0.000137743,-0.006565947,-0.009225849
606.4000244,-0.001226917,-0.000412892,-0.005912106,-0.008650968
605.5999756,-0.001190829,-0.001242972,-0.006587619,-0.009211505
604.7999878,-0.000814954,-0.000110985,-0.007333153,-0.00957259
604,-0.000481885,0.000248214,-0.006812999,-0.009060892
603.2000122,-0.000394375,-0.000490831,-0.006944166,-0.009002479
602.4000244,-0.000741879,-0.001197851,-0.006890002,-0.009705205
601.5999756,-0.000865024,-0.001624719,-0.008110846,-0.008780059
600.7999878,-0.001059514,-0.001275288,-0.007911355,-0.009305415
600,-0.001115339,-0.001256239,-0.007262847,-0.00914277
599.2000122,-0.001034929,-0.000594091,-0.007866972,-0.009153669
598.4000244,-0.002040501,-0.001517628,-0.008400593,-0.011174316
597.5999756,-0.001991133,-0.00086988,-0.007965341,-0.010600394
596.7999878,-0.002285969,-0.000271459,-0.008025927,-0.010534505
596,-0.001271623,0.000254948,-0.006869058,-0.009344381
595.2000122,-0.001291031,-0.000260852,-0.006348654,-0.009221338
594.4000244,-0.001996287,-0.000873497,-0.006667416,-0.010100175
593.5999756,-0.001100105,-0.000120508,-0.00680989,-0.009363585
592.7999878,0.000558175,0.000761378,-0.007189934,-0.008427354
592,0.000637547,0.00010889,-0.007294667,-0.008099058
591.2000122,-0.000713194,0.000708766,-0.007219722,-0.007944093
590.4000244,0.000603925,0.001347174,-0.00529748,-0.007185096
589.5999756,0.0007418,0.001297036,-0.004999309,-0.007310449
588.7999878,0.000295977,0.000497088,-0.005635719,-0.005519492
588,-0.000244088,0.001304877,-0.004709844,-0.005744251
587.2000122,0.00034043,0.002299678,-0.004285384,-0.004420494
586.4000244,0.000326338,0.002070577,-0.005212982,-0.004069562
585.5999756,0.000897254,0.00320157,-0.002156529,-0.002322069
584.7999878,0.000751213,0.00318376,-0.00179175,-0.002160599
584,0.001038388,0.004149949,-0.000857997,-0.001198057
583.2000122,0.000135664,0.002942411,-0.002448678,-0.001343473
582.4000244,0.000118289,0.002991515,-0.002442604,-0.001905783
581.5999756,0.000575256,0.003785133,-0.00131524,-0.001670209
580.7999878,-0.000166622,0.003305945,-0.001605221,-0.000672566
580,0.00114419,0.003422816,-0.001949027,-0.001375626
579.2000122,0.000876165,0.003226501,-0.001623532,-0.001845419
578.4000244,0.00032468,0.003906521,-0.001869029,-0.002091409
577.5999756,0.000229799,0.002967484,-0.002341997,-0.002657177
576.7999878,0.000602448,0.002841459,-0.003012954,-0.001969746
576,0.000207526,0.003014791,-0.003300982,-0.003112377
575.2000122,0.000175594,0.0026465,-0.003805086,-0.004570111
574.4000244,-0.000886569,0.002273968,-0.004503302,-0.004751069
573.5999756,-0.000690813,0.001011766,-0.004976738,-0.005930594
572.7999878,-0.000949236,0.000533216,-0.005426396,-0.006111802
572,-0.001346879,-0.000300329,-0.007080692,-0.007375911
571.2000122,-0.001028938,0.001290986,-0.007246148,-0.007196452
570.4000244,-0.002206806,0.000809976,-0.007562369,-0.008762352
569.5999756,-0.002190889,0.000278493,-0.006824008,-0.009774204
568.7999878,-0.002088936,-0.000209315,-0.007149653,-0.008553566
568,-0.001286076,0.001102821,-0.006716407,-0.007874903
567.2000122,-0.001726884,-0.000146231,-0.008065772,-0.009122847
