,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
699.2000122,-0.001333047,699.2000122,-0.004527383,699.2000122,-0.004433767
698.4000244,-0.003536444,698.4000244,-0.005363911,698.4000244,-0.007127397
697.5999756,-0.003706386,697.5999756,-0.005694894,697.5999756,-0.005835338
696.7999878,-0.003731692,696.7999878,-0.0062466,696.7999878,-0.005302185
696,-0.004183717,696,-0.00551852,696,-0.005856996
695.2000122,-0.004276311,695.2000122,-0.005506508,695.2000122,-0.006762234
694.4000244,-0.00348853,694.4000244,-0.005643742,694.4000244,-0.006479808
693.5999756,-0.002882034,693.5999756,-0.005904853,693.5999756,-0.006584407
692.7999878,-0.003984516,692.7999878,-0.005999736,692.7999878,-0.004949611
692,-0.002680332,692,-0.004460107,692,-0.004713993
691.2000122,-0.004820144,691.2000122,-0.006332327,691.2000122,-0.006980798
690.4000244,-0.004536298,690.4000244,-0.006646767,690.4000244,-0.006008162
689.5999756,-0.003065033,689.5999756,-0.005824049,689.5999756,-0.004670203
688.7999878,-0.002515701,688.7999878,-0.004971006,688.7999878,-0.005410136
688,-0.002300079,688,-0.004651406,688,-0.005181828
687.2000122,-0.003716293,687.2000122,-0.00504588,687.2000122,-0.005760293
686.4000244,-0.00377881,686.4000244,-0.006362786,686.4000244,-0.005902913
685.5999756,-0.004115873,685.5999756,-0.006472667,685.5999756,-0.005602755
684.7999878,-0.003279813,684.7999878,-0.005458503,684.7999878,-0.004550746
684,-0.003046217,684,-0.006140694,684,-0.005160034
683.2000122,-0.003026167,683.2000122,-0.004792137,683.2000122,-0.005165917
682.4000244,-0.002613026,682.4000244,-0.003709466,682.4000244,-0.004464975
681.5999756,-0.003962765,681.5999756,-0.004855983,681.5999756,-0.00496645
680.7999878,-0.003062103,680.7999878,-0.006073923,680.7999878,-0.006605466
680,-0.003057219,680,-0.005565496,680,-0.004930672
679.2000122,-0.003024573,679.2000122,-0.004330545,679.2000122,-0.003757664
678.4000244,-0.003299647,678.4000244,-0.005505639,678.4000244,-0.005120741
677.5999756,-0.002790171,677.5999756,-0.004876717,677.5999756,-0.004204073
676.7999878,-0.002793669,676.7999878,-0.004343257,676.7999878,-0.004503917
676,-0.004523592,676,-0.005165917,676,-0.004367193
675.2000122,-0.005341718,675.2000122,-0.005142895,675.2000122,-0.003570643
674.4000244,-0.003931573,674.4000244,-0.004149104,674.4000244,-0.004312348
673.5999756,-0.003335817,673.5999756,-0.004226991,673.5999756,-0.003655205
672.7999878,-0.003111298,672.7999878,-0.004230785,672.7999878,-0.00418146
672,-0.001290825,672,-0.003796772,672,-0.002813113
671.2000122,-0.002234208,671.2000122,-0.003297026,671.2000122,-0.004269953
670.4000244,-0.004378879,670.4000244,-0.005696171,670.4000244,-0.004538552
669.5999756,-0.003316499,669.5999756,-0.00551985,669.5999756,-0.00510713
668.7999878,-0.002492898,668.7999878,-0.005120127,668.7999878,-0.00389186
668,-0.004017142,668,-0.00451811,668,-0.004733197
667.2000122,-0.001534034,667.2000122,-0.0027502,667.2000122,-0.002260321
666.4000244,-0.00246577,666.4000244,-0.005291598,666.4000244,-0.004007806
665.5999756,-0.002426078,665.5999756,-0.0042921,665.5999756,-0.003646683
664.7999878,-0.003367052,664.7999878,-0.004119002,664.7999878,-0.004267698
664,-0.002424585,664,-0.004440788,664,-0.003614543
663.2000122,-0.00268769,663.2000122,-0.004051354,663.2000122,-0.002922301
662.4000244,-0.002413928,662.4000244,-0.004278566,662.4000244,-0.003508816
661.5999756,-0.002578185,661.5999756,-0.004030375,661.5999756,-0.002917982
660.7999878,-0.003620397,660.7999878,-0.005980741,660.7999878,-0.00359113
660,-0.00206508,660,-0.004272824,660,-0.002448678
659.2000122,-0.002638035,659.2000122,-0.003675329,659.2000122,-0.002899057
658.4000244,-0.003305863,658.4000244,-0.004806422,658.4000244,-0.00357624
657.5999756,-0.002540202,657.5999756,-0.005234415,657.5999756,-0.003764849
656.7999878,-0.002660522,656.7999878,-0.00381145,656.7999878,-0.00303136
656,-0.003233721,656,-0.003697711,656,-0.003064108
655.2000122,-0.002256561,655.2000122,-0.003745294,655.2000122,-0.002584978
654.4000244,-0.002019167,654.4000244,-0.00330165,654.4000244,-0.003455454
653.5999756,-0.002404248,653.5999756,-0.003667988,653.5999756,-0.002825509
