wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
833.5999756,-0.007414085,-0.009428537,-0.008785894,-0.017280415,-0.015293842,-0.016710674,-0.016975027,-0.021437369,-0.021398978,-0.025895691,-0.021114672,-0.024092685,-0.022284182,-0.019747728,-0.023253959,-0.02449921,-0.023475418,-0.024969487,-0.02274286
832.7999878,-0.007442382,-0.007370363,-0.008842207,-0.01452416,-0.014411139,-0.017215632,-0.019900417,-0.01966832,-0.019205291,-0.024779452,-0.020554783,-0.023597725,-0.023218773,-0.022238046,-0.024277588,-0.024954237,-0.022670191,-0.022179458,-0.021633649
832,-0.00712699,-0.007357943,-0.008826582,-0.012122222,-0.015200718,-0.014562761,-0.016273802,-0.017424325,-0.018365748,-0.022214139,-0.022277689,-0.020203359,-0.022477524,-0.023974681,-0.021480387,-0.021827478,-0.021954091,-0.022978574,-0.023516124
831.2000122,-0.006271708,-0.008461829,-0.012635104,-0.014759121,-0.013796497,-0.016506026,-0.020811919,-0.017766571,-0.02199189,-0.022992961,-0.022599621,-0.027020695,-0.026143983,-0.02319335,-0.026270755,-0.025483832,-0.025531236,-0.022256393,-0.024532383
830.4000244,-0.006075352,-0.010560023,-0.009789896,-0.014278752,-0.016485788,-0.016644809,-0.01658093,-0.019376887,-0.018999336,-0.022006752,-0.022749199,-0.022296181,-0.024020191,-0.025458591,-0.018395873,-0.023399435,-0.023777986,-0.024477972,-0.023979826
829.5999756,-0.009135825,-0.012340119,-0.012970492,-0.016569369,-0.016817769,-0.021371035,-0.019060733,-0.02486321,-0.026528526,-0.026339658,-0.02339193,-0.025878228,-0.025441501,-0.023633469,-0.02550341,-0.025479633,-0.027654953,-0.027734226,-0.027142445
828.7999878,-0.007446351,-0.00931261,-0.009772433,-0.016502636,-0.015868936,-0.016670669,-0.021695856,-0.020556413,-0.020883866,-0.026269635,-0.021896549,-0.02361322,-0.023180589,-0.023262007,-0.022054093,-0.023402428,-0.023215828,-0.025626075,-0.026583752
828,-0.005312516,-0.011127993,-0.011674105,-0.018208895,-0.015023113,-0.018101696,-0.019270521,-0.022026684,-0.019726356,-0.025771735,-0.02577476,-0.021732101,-0.02604321,-0.023544913,-0.02238873,-0.026221728,-0.026696328,-0.023414349,-0.023849441
827.2000122,-0.008585089,-0.007290798,-0.008444617,-0.015181971,-0.015621291,-0.017198812,-0.018730562,-0.018294726,-0.02120412,-0.025449753,-0.02246307,-0.024079755,-0.023775781,-0.021209888,-0.019718738,-0.023541676,-0.021431947,-0.022505445,-0.024985129
826.4000244,-0.010708299,-0.013186256,-0.012477375,-0.020477844,-0.017645592,-0.019136932,-0.020009596,-0.021489946,-0.023372209,-0.026514011,-0.02336642,-0.025218699,-0.024153953,-0.026975157,-0.02594495,-0.028248124,-0.028492747,-0.025344767,-0.026441727
825.5999756,-0.007415408,-0.010069875,-0.010400526,-0.016748734,-0.019064795,-0.017060751,-0.019535596,-0.018242206,-0.019600924,-0.021907477,-0.021303803,-0.023822781,-0.02346242,-0.021549709,-0.020783346,-0.023239728,-0.023005679,-0.021571286,-0.022448272
824.7999878,-0.010173563,-0.013776836,-0.012123631,-0.017873257,-0.01919692,-0.022171343,-0.023770535,-0.02256733,-0.022679085,-0.025984207,-0.025066648,-0.028081259,-0.025730848,-0.028094653,-0.026054278,-0.028806085,-0.027162287,-0.027621968,-0.02890496
