wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
533.5999756,-0.003302575,0.005869234,-0.00616147
532.7999878,-0.002260012,0.005495213,-0.005868233
532,-0.001901092,0.00566119,-0.005488002
531.2000122,-0.001333976,0.006420297,-0.003971692
530.4000244,-0.001698882,0.006247596,-0.006364878
529.5999756,-0.00238113,0.006302459,-0.005418471
528.7999878,-0.00181691,0.006933499,-0.006195667
528,-0.002008397,0.006590465,-0.00605733
527.2000122,-0.003466702,0.00511232,-0.005833397
526.4000244,-0.002658001,0.006497043,-0.005725858
525.5999756,-0.00167748,0.00764388,-0.00486612
524.7999878,-0.001880267,0.007398856,-0.004831203
524,-0.001842635,0.007504033,-0.005100632
523.2000122,-0.002703743,0.007279962,-0.004678244
522.4000244,-0.002598102,0.007556105,-0.005899133
521.5999756,-0.002194186,0.008277743,-0.004656067
520.7999878,-0.000264578,0.009036474,-0.00255029
520,-0.001062922,0.008666265,-0.002628876
519.2000122,-0.00154688,0.007444911,-0.003422684
518.4000244,-0.001084768,0.007514779,-0.004549055
517.5999756,-0.00075666,0.008363685,-0.004260213
516.7999878,-0.001523303,0.007847869,-0.003577113
516,-0.003607099,0.007432613,-0.005407528
515.2000122,-0.002137468,0.008541982,-0.004650484
514.4000244,-0.002365426,0.008071917,-0.005981814
513.5999756,-0.001935369,0.008686969,-0.004989636
512.7999878,-0.000679079,0.010212438,-0.002565988
512,-0.001883566,0.009937013,-0.003321174
511.1999817,-0.000832006,0.008867221,-0.003399518
510.3999939,-0.001183084,0.008790241,-0.004123156
509.6000061,-0.000425874,0.009750173,-0.003342033
508.7999878,-0.00063607,0.010337254,-0.002303375
508,-0.00091018,0.009242652,-0.004157565
507.1999817,-0.001792214,0.009293452,-0.004262571
506.3999939,-0.002587192,0.009330451,-0.003601194
505.6000061,-0.00154688,0.009495201,-0.002791663
504.7999878,-0.00152903,0.010524902,-0.002325364
504,-0.001624306,0.010543387,-0.002397864
503.1999817,-0.001330724,0.00982743,-0.002498458
502.3999939,-0.000831334,0.009851871,-0.00346547
501.6000061,-0.001650507,0.009659749,-0.004170846
500.7999878,-0.002661911,0.009104299,-0.003110887
500,-0.002123764,0.010563625,-0.002488729
499.1999817,-0.001752254,0.010599273,-0.002291634
498.3999939,-0.000986687,0.011002702,-0.002044366
497.6000061,-0.001137492,0.011052698,-0.001404422
496.7999878,-0.000103066,0.011507262,-0.002157302
496,-0.001189332,0.012036174,-0.002612614
495.1999817,-0.001108677,0.011146229,-0.002273196
494.3999939,-0.000820896,0.012314746,-0.001295935
493.6000061,-0.000552262,0.012709402,-0.000365408
492.7999878,-3.42E-05,0.012988781,-0.000109225
492,0.000598352,0.012289261,-0.000944018
491.1999817,0.000989063,0.013471569,-0.001959077
