Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8141	DOM12484	1266-2-11 Harekupvatnet	1266-2-11	Harekupvatnet
930-8141	DOM12485	1266-1-43 HOH 816	1266-1-43	HOH 816
930-8141	DOM12486	1266-2-10 Svadfjellvatni	1266-2-10	Svadfjellvatni
930-8142	DOM12487	1266-2-35 Klefjellvatni	1266-2-35	Klefjellvatni
930-8142	DOM12488	1266-1-25 Stemmevatnet	1266-1-25	Stemmevatnet
930-8142	DOM12489	1266-2-6 Nordrevotni	1266-2-6	Nordrevotni
930-8142	DOM12490	1266-1-24 HOH 800	1266-1-24	HOH 800
930-8142	DOM12491	1266-2-11 Harekupvatnet	1266-2-11	Harekupvatnet
930-8142	DOM12492	1266-1-43 HOH 816	1266-1-43	HOH 816
930-8142	DOM12493	1266-2-10 Svadfjellvatni	1266-2-10	Svadfjellvatni
930-8143	DOM12494	1256-3-13 Storavatnet	1256-3-13	Storavatnet
930-8144	DOM12495	1256-3-13 Storavatnet	1256-3-13	Storavatnet
930-8145	DOM12496	1252-2-8 HOH 1019	1252-2-8	HOH 1019
930-8145	DOM12497	1252-2-21 Nedre Sørdalsvatnet	1252-2-21	Nedre Sørdalsvatnet
930-8146	DOM12498	1252-2-8 HOH 1019	1252-2-8	HOH 1019
930-8146	DOM12499	1252-2-21 Nedre Sørdalsvatnet	1252-2-21	Nedre Sørdalsvatnet
930-8147	DOM12500	1228-1-16 1230 HOH	1228-1-16	1230 HOH
930-8147	DOM12501	1228-3-4 Kaldevatn	1228-3-4	Kaldevatn
930-8147	DOM12502	1228-2-9 HOH 1110	1228-2-9	HOH 1110
930-8147	DOM12503	1228-1-13 HOH 1263	1228-1-13	HOH 1263
930-8147	DOM12504	1228-1-42 HOH 1166	1228-1-42	HOH 1166
930-8147	DOM12505	1228-1-12 HOH 1367	1228-1-12	HOH 1367
930-8147	DOM12506	1228-2-4 Øvre Juklevatni	1228-2-4	Øvre Juklevatni
930-8147	DOM12507	1228-501 Steinavatn	1228-501	Steinavatn
930-8147	DOM12508	1228-1-21 Litlavatn	1228-1-21	Litlavatn
930-8147	DOM12509	1228-3-8 Reinsnosvatnet	1228-3-8	Reinsnosvatnet
930-8148	DOM12510	1228-1-16 1230 HOH	1228-1-16	1230 HOH
930-8148	DOM12511	1228-3-4 Kaldevatn	1228-3-4	Kaldevatn
